还款id,借款人uid,标id,标题,还款期数,费用,还款本息
300000000100996800,201609010140720100,3037872851427200,LZMGX-08ZX2032,3,30000,5045833
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3727311591427207,,300000000100994107,12000000001340238,3,201609010132215138,,,320000,2933,322933
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3727311591427207,,300000000100994107,12000000001340338,3,201609010132215138,,,300000,2750,302750
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3727311591427207,,300000000100994107,12000000001340438,3,201609010406496038,,,710000,6508,716508
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3727311591427207,,300000000100994107,12000000001340538,3,201609010406496038,,,80000,733,80733
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3727311591427207,,300000000100994107,12000000001340638,3,201609010406496038,,,500000,4583,504583
本期回款总金额:3027497,差额=3
